,name,image_url,description,website,linkedin,crunchbase_url,headquarters_location
27,Fisch Financial Group,https://images.crunchbase.com/image/upload/t_cb-default-original/ujztf273wriezux36otr,"FFG Fisch Financial Grp. offers financial planning, investment management, and risk assessment services.",https://www.ffgfinancial.com,https://www.linkedin.com/company/ffg-fisch-financial-group,https://www.crunchbase.com/organization/fisch-financial-group,"Central Valley, New York, United States, North America"
28,Sellerscourt,https://images.crunchbase.com/image/upload/t_cb-default-original/spyzcrkna28an61rouhj,Full Amazon Service Agency & Done For You Amazon FBA Wholesale & Private Label Stores,https://sellerscourt.com/,https://www.linkedin.com/company/sellerscourt/,https://www.crunchbase.com/organization/sellerscourt,"New York, New York, United States, North America"
29,Converge Marketing Services,https://images.crunchbase.com/image/upload/t_cb-default-original/s4vta9hfu2qmfmexjog3,"Converge Marketing Services provides SEO, SEM, social media, mobile marketing, branding, and direct marketing services.",https://www.convergemarketingservices.com/,,https://www.crunchbase.com/organization/converge-marketing-services,"New York, New York, United States, North America"
30,AVCAS,https://images.crunchbase.com/image/upload/t_cb-default-original/cmqlafps17dv38sajyng,AVCAS is a technology company specializing in advanced programming for the home automation industry.,https://avcas.com,https://www.linkedin.com/company/avcas/,https://www.crunchbase.com/organization/avcas,"New York, New York, United States, North America"
31,Xomox Jewelry,https://images.crunchbase.com/image/upload/t_cb-default-original/nyx420dvfxrooz1pyia7,"Xomox Jewelry offers CAD design, wax carving, 3D printing, rubber molds, and CNC machining services for jewelry.",https://xomoxjewelry.com,https://www.linkedin.com/company/xomox-jewelry-inc,https://www.crunchbase.com/organization/xomox-jewelry,"New York, New York, United States, North America"
32,Susie Saltzman,https://images.crunchbase.com/image/upload/t_cb-default-original/pglzaqw8vgpnurdi2rao,"Susie Saltzman crafts custom engagement rings and fine jewelry, offering a bespoke design experience.",https://susiesaltzman.com,https://www.linkedin.com/company/susie-saltzman-fine-jewelry,https://www.crunchbase.com/organization/susie-saltzman,"New York, New York, United States, North America"
33,Crosswalk Ventures,https://images.crunchbase.com/image/upload/t_cb-default-original/em0ctly6gdmuzylgciao,Crosswalk Ventures is a global brand consultancy using zero-party data to monitor digital behavior and enhance brand performance.,https://www.crosswalkventuresnyc.com,https://www.linkedin.com/company/crosswalk-worldwide,https://www.crunchbase.com/organization/crosswalk-ventures,"Brooklyn, New York, United States, North America"
34,Molly Cagwin,https://images.crunchbase.com/image/upload/t_cb-default-original/fitoscz8puhz93sbmxlg,Molly Cagwin is a photography and design company that specializes in photography and designs.,http://www.cagwinphoto.com,,https://www.crunchbase.com/organization/molly-cagwin,"Elmira, New York, United States, North America"
35,NOFO Real Estate,https://images.crunchbase.com/image/upload/t_cb-default-original/zwpwomrcnjezii9hcc41,"NOFO Real Estate offers real estate services in North Fork, specializing in sales of diverse properties.",https://www.nofoproperties.com,https://www.linkedin.com/company/nofo-real-estate/,https://www.crunchbase.com/organization/nofo-real-estate,"Mattituck, New York, United States, North America"
36,Anchor Veterinary Surgery,https://images.crunchbase.com/image/upload/t_cb-default-original/mozujygjcyyguozrsxmr,"Anchor Veterinary Surgery is an animal care center that provides oncologic, TPLO, soft tissue, splenectomy, and orthopedic treatments.",https://www.anchorveterinarysurgery.com,https://www.linkedin.com/company/anchor-veterinary-surgery,https://www.crunchbase.com/organization/anchor-veterinary-surgery,"Brooklyn, New York, United States, North America"
37,Dark Horse Advisors,https://images.crunchbase.com/image/upload/t_cb-default-original/gmuqppqea5thstjzemzn,"Dark Horse Advisors is a financial services company that offers consulting services for retailers, restaurants, and hotel sectors.",https://darkhorseadvisorsinc.com,https://www.linkedin.com/company/dark-horse-advisors,https://www.crunchbase.com/organization/dark-horse-advisors,"New York, New York, United States, North America"
38,Ed Ryan Real Estate Group,https://images.crunchbase.com/image/upload/t_cb-default-original/nqiidyfvij3j0hqwbj99,"Ed Ryan Real Estate Group specializes in buying, selling homes, and land in Long Island.",http://www.edryanrealestategroup.com,https://www.linkedin.com/company/ed-ryan-real-estate-group,https://www.crunchbase.com/organization/ed-ryan-real-estate-group,"West Islip, New York, United States, North America"
39,North Point Partners,https://images.crunchbase.com/image/upload/t_cb-default-original/b7rmbputwcx7snl1s2hx,"North Point Partners offers HR services including talent acquisition, employee development, and consulting.",https://www.northpointpartners.co,https://www.linkedin.com/company/north-point-partners-corp/,https://www.crunchbase.com/organization/north-point-partners,"Manhattan, New York, United States, North America"
40,Knox Design Strategy,https://images.crunchbase.com/image/upload/t_cb-default-original/ja0rqfyhlugnxvs4oblr,"Knox Design Strategy is a branding agency that offers brand identity, corporate communications, and website design services.",https://www.knoxdesignstrategy.com,https://www.linkedin.com/company/knox-design-strategy,https://www.crunchbase.com/organization/knox-design-strategy,"New York, New York, United States, North America"
41,PlaySecure,https://images.crunchbase.com/image/upload/t_cb-default-original/vqbswa71zgwwoqixlj4v,"PlaySecure offers financial solutions for professional sports teams, focusing on liquidity management and real-time tracking.",https://playsecurepro.com,https://www.linkedin.com/company/playsecure,https://www.crunchbase.com/organization/playsecure,"New York, New York, United States, North America"
42,Queens Family Dental,https://images.crunchbase.com/image/upload/t_cb-default-original/altgaksk9ivylmg1adbf,"Queens Family Dental provides comprehensive dental care, including cosmetic and surgical procedures.",https://www.queensfamilydental.com ,https://www.linkedin.com/company/queens-family-dental ,https://www.crunchbase.com/organization/queens-family-dental,"Flushing, New York, United States, North America"
43,Seracle,https://images.crunchbase.com/image/upload/t_cb-default-original/vpxz1wpqfejshraccc72,Seracle is a blockchain-as-a-service platform that features white-label crypto exchange and software solutions.,https://seracle.com,https://www.linkedin.com/company/seracle,https://www.crunchbase.com/organization/seracle,"New York, New York, United States, North America"
44,Dr Tros Medical Weight Loss & Direct Primary Care,https://images.crunchbase.com/image/upload/t_cb-default-original/f3ue13ebqovpdpmuawez,"Dr Tros Medical Weight Loss & Direct Primary Care focuses on personalized healthcare, weight management, and primary care.",https://www.doctortro.com,https://www.linkedin.com/company/doctortrok,https://www.crunchbase.com/organization/dr-tros-medical-weight-loss-direct-primary-care,"Tappan, New York, United States, North America"
45,SQrBlock Solutions,https://images.crunchbase.com/image/upload/t_cb-default-original/d8suao6dmuodaj7zfw9y,SQrBlock Solutions applies blockchain technology to innovate in the insurance industry.,https://sqrblock.com,https://www.linkedin.com/company/sqrblock-solutions,https://www.crunchbase.com/organization/sqrblock-solutions,"New York, New York, United States, North America"
46,Early Riders,https://images.crunchbase.com/image/upload/t_cb-default-original/jivijyw661qdisbkmsku,Early Riders is a sound capital investment firm.,,https://www.linkedin.com/company/early-riders,https://www.crunchbase.com/organization/early-riders,"New York, New York, United States, North America"
47,Zufall Communications,https://images.crunchbase.com/image/upload/t_cb-default-original/bqcz5xcylpvyz81ztaw9,"Zufall Communications connects businesses with Wi-Fi, fiber optics, security cameras, and more in Central New York.",https://zufall.co,https://www.linkedin.com/company/zufall,https://www.crunchbase.com/organization/zufall-communications,"Ithaca, New York, United States, North America"
48,ElectronX,https://images.crunchbase.com/image/upload/t_cb-default-original/g5ekbsmmmqh11uw4yypo,ElectronX is an electricity demand grows and the grid rapidly shifts to intermittent renewable energy sources.,https://electronx.com,https://www.linkedin.com/company/trade-electronx,https://www.crunchbase.com/organization/electronx,"New York, New York, United States, North America"
49,Concord Private Jet,https://images.crunchbase.com/image/upload/t_cb-default-original/qoysen6jketcdryc11l4,Concord Private Jet specializes in air charter services.,https://cpjet.com,,https://www.crunchbase.com/organization/concord-private-jet,"Garden City, New York, United States, North America"
50,B.brand Agency,https://images.crunchbase.com/image/upload/t_cb-default-original/kwmvm5lb4malqwejkxhh,"B.brand Agency specializes in digital marketing, public relations, analytics, graphic design, and web development services.",https://bbrand.agency,https://www.linkedin.com/company/b-brand-agency/,https://www.crunchbase.com/organization/b-brand-agency,"Boston, Massachusetts, United States, North America"
51,Custom Syndicate,https://images.crunchbase.com/image/upload/t_cb-default-original/ted6naoer98bsftwhydr,"Custom Syndicate offers consulting in customs clearance, logistics, and international transportation services.",https://www.customsyndicate.com,,https://www.crunchbase.com/organization/custom-syndicate,"New York, New York, United States, North America"
52,Raiseway,https://images.crunchbase.com/image/upload/t_cb-default-original/hfrvuv1s5mgkpxj8mdpd,Raiseway is running an investment crowdfunding campaign is tough without our software and built for the smallest of businesses.,https://raiseway.app/,https://www.linkedin.com/company/raiseway/,https://www.crunchbase.com/organization/raiseway,"New York, New York, United States, North America"
53,Joanne Gay Realty,https://images.crunchbase.com/image/upload/t_cb-default-original/u4ol5pd3xa3ivjgrqv9m,"Joanne Gay Realty Inc. offers real estate services, including modernized sponsor apartments.",https://www.joannegayrealty.com,,https://www.crunchbase.com/organization/joanne-gay-realty,"Brooklyn, New York, United States, North America"
54,Simple Society NYC,https://images.crunchbase.com/image/upload/t_cb-default-original/ybaogm4zzvmp4vn2vcfy,"Simple Society NYC simplifies financial planning, taxes, and insurance, making them accessible to all.",https://www.simplesocietynyc.com,https://www.linkedin.com/company/simplesocietynyc,https://www.crunchbase.com/organization/simple-society-nyc,"New York, New York, United States, North America"
55,On The Next Page,https://images.crunchbase.com/image/upload/t_cb-default-original/orxnc0yo5wxrnyg34zlk,"On The Next Page offers executive coaching, HR and management consulting, aiming to improve employee engagement and ease change.",https://onthenextpage.com,https://www.linkedin.com/company/onthenextpage,https://www.crunchbase.com/organization/on-the-next-page,"Katonah, New York, United States, North America"
56,The Hudson Company,https://images.crunchbase.com/image/upload/t_cb-default-original/gjuwgcengh3on6y0jfy8,The Hudson Company is a full service real estate brokerage firm.,http://www.thehudsoncompany.com/,https://www.linkedin.com/company/the-hudson-company/?originalSubdomain=in,https://www.crunchbase.com/organization/the-hudson-company,"Winnetka, Illinois, United States, North America"
57,Somers Smiles,https://images.crunchbase.com/image/upload/t_cb-default-original/exuuiangdzy6lx8ldxqa,"Somers Smiles specializes in the treatment of preventive care, restorative care, pediatric care, and sedation dentistry.",https://somerssmiles.com/,https://www.linkedin.com/company/somers-smiles,https://www.crunchbase.com/organization/somers-smiles,"Somers, New York, United States, North America"
58,CareMed Primary and Urgent Care,https://images.crunchbase.com/image/upload/t_cb-default-original/criuk7spjertmnqolvcg,CareMed Primary and Urgent Care is a healthcare center offering medical services for adults and children.,https://caremedpc.com,https://www.linkedin.com/company/caremedpc,https://www.crunchbase.com/organization/caremed-primary-and-urgent-care,"Coram, New York, United States, North America"
59,Greater Barryville Chamber of Commerce,https://images.crunchbase.com/image/upload/t_cb-default-original/gbvcjsykmr4kka7z6asx,"Greater Barryville Chamber of Commerce supports local businesses through networking, events, and community projects.",https://barryvilleny.com,,https://www.crunchbase.com/organization/greater-barryville-chamber-of-commerce,"Barryville, New York, United States, North America"
60,Blue Bridge Funding,https://images.crunchbase.com/image/upload/t_cb-default-original/zasuhx87xi6i57xqwavc,Blue Bridge Funding offers equipment financing and tailored financial solutions for commercial businesses.,https://www.bluebridgefunding.com,https://www.linkedin.com/company/blue-bridge-funding-i-llc,https://www.crunchbase.com/organization/blue-bridge-funding,"New York, New York, United States, North America"
61,Ipz,https://images.crunchbase.com/image/upload/t_cb-default-original/pest36e7byo6vot8i6oz,"IPZ specializes in management, representation, and consulting services within the advertising sector, focusing on sports and entertainment.",https://www.ipzusa.com,https://www.linkedin.com/company/sage-collective,https://www.crunchbase.com/organization/ipz,"New York, New York, United States, North America"
62,Driven Sports,https://images.crunchbase.com/image/upload/t_cb-default-original/vqqv8a9dddo5imej3nok,"Driven Sports is a researcher, formulator, and manufacturer of sports supplements for preworkout, relaxants, muscle mass, and weight loss.",https://drivensports.com,,https://www.crunchbase.com/organization/driven-sports,"New York, New York, United States, North America"
63,Endodontist NYC,https://images.crunchbase.com/image/upload/t_cb-default-original/kdztbdbwknygabmmcqkk,"Endodontist NYC is a dental care center that provides sedation dentistry, root canal treatment, and dental trauma care services.",https://endodontistnyc.com,https://www.linkedin.com/company/endodontist-nyc,https://www.crunchbase.com/organization/endodontist-nyc,"New York, New York, United States, North America"
64,BiteSight,https://images.crunchbase.com/image/upload/t_cb-default-original/sijrrlgaqhhrwupdanwf,BiteSight is a video-based meal delivery app.,https://delivery.bitesight.co/,https://www.linkedin.com/company/bitesight-food-delivery/about,https://www.crunchbase.com/organization/bitesight,"New York, New York, United States, North America"
65,Eurofoods Regulatory Advisors,https://images.crunchbase.com/image/upload/t_cb-default-original/g9acledqtt3bw4e2wj2h,Euro Foods Regulatory Advisors offers consulting services for compliance with US food regulations.,http://www.eurofoodsreg.com,https://www.linkedin.com/company/eurofoods-regulatory-advisors-llc,https://www.crunchbase.com/organization/euro-foods-regulatory-advisors,"Hicksville, New York, United States, North America"
66,Masonic Hall NYC,https://images.crunchbase.com/image/upload/t_cb-default-original/qsojr8xfpcupqy4yk0xp,"Masonic Hall NYC is a nonprofit organization that rents venues for weddings, theater performances, corporate events, and fashion shows.",https://www.masonichallnyc.org,https://www.linkedin.com/company/masonic-hall-nyc,https://www.crunchbase.com/organization/masonic-hall-nyc,"New York, New York, United States, North America"
67,D2D Consulting,https://images.crunchbase.com/image/upload/t_cb-default-original/jlpmqymagsfr2mrllzqe,D2D Consulting offers digital solutions for technology initiatives and business process optimization.,https://d2dconsulting.com,https://www.linkedin.com/company/d2dconsulting/,https://www.crunchbase.com/organization/d2d-consulting,"East Meadow, New York, United States, North America"
68,WZ Wietschner Ziegler,https://images.crunchbase.com/image/upload/t_cb-default-original/kxjseuegua7bjzoivacq,"iClever Services offers financial planning, wealth management, accounting, bookkeeping, and tax services.",https://www.wzcpas.com,https://www.linkedin.com/company/wzcpas,https://www.crunchbase.com/organization/wz-wietschner-ziegler,"New York, New York, United States, North America"
69,Civic News Company,https://images.crunchbase.com/image/upload/t_cb-default-original/vahzcre4gnrhuen5cofq,Civic News Company is a nonprofit publisher that offers Chalkbeat and Votebeat services.,https://civicnews.org,https://www.linkedin.com/company/civic-news-company,https://www.crunchbase.com/organization/civic-news-company,"New York, New York, United States, North America"
70,Oshex Associates,https://images.crunchbase.com/image/upload/t_cb-default-original/b1zpwztxsqdgtldgkdnr,"Oshex Associates offers solutions for noise and vibration control, including acoustical panels, tiles, and diffusers.",https://oshex.com,https://www.linkedin.com/company/oshex-associates-inc/,https://www.crunchbase.com/organization/oshex-associates,"Baldwinsville, New York, United States, North America"
71,Fundco,https://images.crunchbase.com/image/upload/t_cb-default-original/sajzyhzb7tb2qhlaid04,Fundco is an independent Alternative Investment Fund Manager (AIFM).,https://fundco.fi,https://www.linkedin.com/company/fundcofi,https://www.crunchbase.com/organization/fundco,"Brooklyn, New York, United States, North America"
72,Demerara Engineering,https://images.crunchbase.com/image/upload/t_cb-default-original/gztdwurmsbmhpbevgons,Demerara Engineering is a structural engineering firm that offers design consulting and construction supervision services.,https://www.demeraraeng.com,https://www.linkedin.com/company/demerara-engineering-pllc,https://www.crunchbase.com/organization/demerara-engineering,"Long Island City, New York, United States, North America"
73,Cardinal Equity Partners,https://images.crunchbase.com/image/upload/t_cb-default-original/y3xe0nupscntathsbgs2,Cardinal Equity Partners is a multi-family owned investment firm.,http://www.cardinalep.com,https://www.linkedin.com/company/cardinal-equity-partners/,https://www.crunchbase.com/organization/cardinal-equity-partners,"Indianapolis, Indiana, United States, North America"
74,Gypsum Systems Interiors,,Gypsum Systems Interiors has become a premier contractor for wall and ceiling construction in the region.,https://www.gypsumsystems.com/,https://www.linkedin.com/company/gypsum-systems-interiors-ltd/,https://www.crunchbase.com/organization/gypsum-systems-interiors,"Farmington, New York, United States, North America"
75,"ProPhase, LLC",https://images.crunchbase.com/image/upload/t_cb-default-original/v1494415094/pch3yaxaow7pk72cbz4l.png,"ProPhase, LLC is a global provider of specialty solutions in clinical trials.",http://prophase.com,https://www.linkedin.com/company/prophase-llc,https://www.crunchbase.com/organization/prophase-llc,"New York, New York, United States, North America"
76,MRG.NYC,https://images.crunchbase.com/image/upload/t_cb-default-original/oqyarmv0xyxfkbcmmnej,"MRG.NYC LLC specializes in real estate services in NYC, focusing on buying, selling, and renting properties.",https://mrg.nyc,https://www.linkedin.com/company/mrgnyc/,https://www.crunchbase.com/organization/mrg-nyc,"New York, New York, United States, North America"
77,Welara,https://images.crunchbase.com/image/upload/t_cb-default-original/pr5bydvxwgse1wa0n0uf,"Welara is an independent, multi-family office and wealth advisor designed to provide services to wealth creators and their families.",http://www.welara.com,https://www.linkedin.com/company/welara,https://www.crunchbase.com/organization/welara,"New York, New York, United States, North America"
78,Kinetx Co.,https://images.crunchbase.com/image/upload/t_cb-default-original/rvtgskdhvgaqxnzxvzpj,"Kinetx Co. LLC specializes in IT consultancy, network design, IT infrastructure, and VoIP phone systems.",https://www.kinetx.co,https://www.linkedin.com/company/kinetxco/,https://www.crunchbase.com/organization/kinetx-co,"New York, New York, United States, North America"
79,Bauen Energy Technologies,https://images.crunchbase.com/image/upload/t_cb-default-original/nyi1uyldhjst7al1w4p9,Bauen Energy Technologies is an IT company that develops and provides electric vehicle charging and connectivity solutions.,https://getbauen.com,https://www.linkedin.com/company/bauen-energy-tech1,https://www.crunchbase.com/organization/bauen-energy-technologies,"New York, New York, United States, North America"
80,Delightful Travel & Tours,https://images.crunchbase.com/image/upload/t_cb-default-original/kslqjq0fu0icohrdozr5,Delightful Travel & Tours is a travel agency that specializes in seychelles tours and stopover vacation services.,https://delightfultours.com,https://www.linkedin.com/company/delightful-travel-tours/,https://www.crunchbase.com/organization/delightful-travel-tours,"New York, New York, United States, North America"
81,Kidney Care of Greater New York,https://images.crunchbase.com/image/upload/t_cb-default-original/if1ba3kayktafsavk50x,Kidney Care of Greater New York offers specialized kidney care and treatment services.,https://www.kidneycarebrooklyn.com,https://www.linkedin.com/company/kidney-care-of-brooklyn-and-queens-pllc,https://www.crunchbase.com/organization/kidney-care-of-greater-new-york,"Brooklyn, New York, United States, North America"
82,The Savvy Bookkeep,https://images.crunchbase.com/image/upload/t_cb-default-original/tz8mpofszu5bopvgeo2y,"Savvy Bookkeep offers accounting, bookkeeping, and CFO services for SMBs, focusing on financial accuracy and growth.",https://savvybookkeep.com,https://www.linkedin.com/company/savvy-bookkeep,https://www.crunchbase.com/organization/the-savvy-bookkeep,"Beacon, New York, United States, North America"
83,Next In Natural,https://images.crunchbase.com/image/upload/t_cb-default-original/emmaazffmbopzfymwx6o,Next In Natural is an award-winning experience uniting emerging organic and natural food and beverage brands.,https://www.nextinnatural.com,https://www.linkedin.com/company/nextinnatural,https://www.crunchbase.com/organization/next-in-natural,"Brooklyn, New York, United States, North America"
84,Metropolitan Dental Care,https://images.crunchbase.com/image/upload/t_cb-default-original/khaprvz8zqknm2o1ebmh,"Metropolitan Dental Care offers dental crowns, composite fillings, veneers, dental bridges, extractions, and cosmetic dentistry treatments.",https://metrodentalcare.com,https://www.linkedin.com/company/metropolitan-dental-care,https://www.crunchbase.com/organization/metropolitan-dental-care,"Denver, Colorado, United States, North America"
85,Conversion Services Corp.,https://images.crunchbase.com/image/upload/t_cb-default-original/rg4fdbpzmxn8tfgqzx87,"Conversion Services Corp. offers data conversion for accounting/ERP systems, including QuickBooks, Dynamics, and Sage.",https://www.conversionservicescorp.com,,https://www.crunchbase.com/organization/conversion-services-corp,"New York, New York, United States, North America"
86,Segedin Financial Advisors,https://images.crunchbase.com/image/upload/t_cb-default-original/rz0ozet6pfvjgxzynlmr,"Segedin Financial Advisors offers financial planning, investment advising, and risk management for affluent clients.",https://segedinadvisors.com,,https://www.crunchbase.com/organization/segedin-financial-advisors,"Tappan, New York, United States, North America"
